Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0.25439575,0.3373319,0.5842187,0.4819496,0.1179455,0.16545965,0.5946995,0.48328698,0.19133277,0.16790192,0.0739266,0.55026245,0.61694837,0.46549445,0.025082175,0.35247362,0.15172912,0.31396443,0.012107899,0.16993093,0.52119523,0.058785617,0.033781618,0.18236813,0.0118125975,0.10128374,0.034594644,0.17017362,0.36213255,0.05512607,0.02423895,0.07834009,0.1101887,0.029401582,0.15012729,0.14740908,0.07270789,0.51584375,0.28504202,0.33952937,0.38737017
1,0.11742741,0.017539676,0.21117453,0.13215558,0.07491068,0.3336133,0.21294564,0.016325627,0.29186085,0.017805735,0.21596795,0.019302765,0.09693764,0.16714934,0.4541241,0.26935425,0.26436234,0.36082098,0.35873455,0.023391161,0.3620403,0.09493938,0.31111956,0.12374976,0.26014793,0.09481227,0.03030629,0.03708708,0.040971108,0.057294145,0.0985919,0.008983478,0.03328795,0.016689595,0.36775488,0.0012972403,0.15302812,0.017414646,0.061061632,0.2928356,0.009523965
2,0.02939401,0.03877509,0.07626313,0.0044784066,0.039602555,0.031827886,0.18522368,0.09201797,0.12509903,0.09026508,0.016628869,0.15345828,0.117784835,0.40654454,0.04399237,0.044635423,0.015850637,0.07522107,0.06500758,0.32392564,0.5254324,0.27235204,0.23023616,0.11307284,0.12605253,0.14149298,0.07179025,0.034517623,0.05111504,0.25945872,0.0568307,0.18174726,0.16689876,0.21311508,0.08128533,0.03964661,0.048411228,0.028696463,0.014025337,0.058454208,0.00020999726
3,0.051988482,0.2868392,0.30829787,0.03212639,0.059858248,0.103191294,0.048720095,0.0891926,0.031894002,0.32785657,0.07491483,0.045007,0.13754079,0.030312616,0.3259913,0.18838474,0.061394773,0.1061367,0.8363607,0.016799834,0.050806448,0.020379733,0.09883461,0.008632484,0.055352505,0.019248432,0.09471328,0.013930306,0.015217705,0.04157508,0.048829194,0.022697242,0.03515709,0.032267246,0.00845057,0.018289182,0.05143348,0.09088272,0.10705585,0.07301534,0.034176644
4,0.01125183,0.020884689,0.020033292,0.057836182,0.03747704,0.007441364,0.0061068432,0.05789722,0.03131227,0.16849598,0.15527718,0.026087932,0.02067152,0.024335202,0.036256295,0.024349751,0.4746297,0.00926338,0.05397587,0.17541799,0.019581726,0.013165334,0.05524014,0.09837821,0.039392702,0.04803286,0.18521908,0.046063557,0.017174445,0.1988338,0.05343444,0.014405855,0.10992924,0.11611095,0.00980862,0.010878835,0.0658456,0.009099664,0.15390603,0.0052685747,0.009820299
5,0.030685427,0.0054093977,0.013646806,0.055182286,0.011113581,0.028821481,0.007203724,0.021878019,0.019249571,0.3036015,0.121121466,0.058611996,0.03642473,0.02340422,0.0103870295,0.0092534665,0.020633962,0.015404406,0.22787574,0.030302983,0.012306852,0.034061242,0.04852312,0.04255517,0.103162825,0.045231584,0.04694801,0.04213157,0.019830585,0.047538348,0.081906945,0.010308916,0.015264577,0.26370263,0.032006655,0.026002582,0.019474056,0.012401834,0.014969649,0.018537436,0.0022937697
6,0.048261233,0.0015892988,0.1206226,0.015668284,0.0057524717,0.15209131,0.058700595,0.07785663,0.01891683,0.054322813,0.007865572,0.051062252,0.10370968,0.086648695,0.06999046,0.030394146,0.06979206,0.05058594,0.066160135,0.067381136,0.06104488,0.0053186817,0.054441348,0.11837871,0.07245766,0.1059948,0.07396511,0.03910105,0.020295175,0.0010517051,0.66457814,0.15625817,0.17775641,0.17658672,0.077280834,0.05274776,0.013312526,0.009821928,0.015062907,0.013685353,0.00037208226
7,0.049528293,0.009602999,0.055794906,0.0141732,0.21531133,0.018468874,0.06236814,0.01286827,0.053579956,0.023959732,0.04231199,0.041788384,0.039268516,0.026375681,0.031499203,0.009939983,0.011284163,0.016675124,0.16442023,0.015427027,0.03955685,0.033230465,0.022586742,0.01783496,0.026586011,0.06768823,0.030056758,0.008209296,0.005727499,0.012818716,0.009787515,0.10473519,0.039618947,0.012127,0.021124167,0.01004374,0.059545625,0.025969936,0.008745979,0.083683036,0.12577224
8,0.117509246,0.13993397,0.07790333,0.03734585,0.013788871,0.022717752,0.018221986,0.013917075,0.013468029,0.0071975538,0.012123186,0.010522135,0.006768072,0.013334092,0.013357622,0.04008654,0.08253482,0.06258885,0.04477609,0.28170192,0.011707392,0.001503712,0.08045909,0.17159748,0.047729954,0.37162384,0.030308273,0.0278526,0.021040127,0.11302106,0.16935387,0.15187141,0.19227725,0.1084211,0.0041153003,0.010102968,0.106073745,0.17402412,0.29382357,0.2356196,0.26213995
9,0.107060544,0.078135066,0.076510556,0.021968106,0.09809783,0.24654496,0.15414628,0.056594346,0.0391011,0.0065922434,0.10689941,0.103072345,0.14344458,0.16143125,0.064522184,0.32799295,0.0109845055,0.026505206,0.19480589,0.021147434,0.050385635,0.0058152503,0.030202262,0.16016228,0.11071155,0.09152235,0.06995438,0.026469251,0.021532793,0.009546794,0.016512208,0.025166377,0.002852817,0.011639576,0.0028452803,0.023161015,0.008104072,0.013094847,0.054741554,0.018898094,0.0027995375
10,0.030077761,0.23748055,0.03269726,0.04955701,0.14785555,0.024989802,0.034586117,0.05827875,0.015229883,0.01620131,0.0014733644,0.062530704,0.046474434,0.009685742,0.0053257453,0.019061761,0.0681147,0.028429147,0.016755586,0.014941046,0.013546724,0.01289168,0.021899343,0.027893571,0.024000438,0.010127236,0.040671915,0.10783181,0.047829673,0.058197454,0.006372368,0.034723356,0.018392835,0.037652984,0.038360544,0.05413223,0.010704202,0.006948339,0.07472111,0.10914626,0.1467076
11,0.06238225,0.0042860685,0.008506228,0.012509609,0.052504405,0.14906733,0.0026913574,0.0027579071,0.0067611174,0.029677566,0.12124405,0.06540648,0.007914519,0.0022943586,0.016308866,0.015687384,0.03863982,0.058832973,0.10598641,0.07930869,0.037951905,0.015068183,0.04568986,0.061092068,0.12147826,0.012817644,0.027791385,0.12998018,0.05285821,0.0031290874,0.002173028,0.007838353,0.014752647,0.012134241,0.015982091,0.0068494654,0.010734755,0.0091877,0.011920077,0.17036843,0.08093995
12,0.047385335,0.01382002,0.08571974,0.04409121,0.004328137,0.002778777,0.018572988,0.04329753,0.006259048,0.00091206905,0.07462438,0.003459238,0.009934007,0.009149224,0.0035741539,0.024500847,0.006973139,0.017379237,0.034420446,0.029167973,0.0028683979,0.042940732,0.10342845,0.044550054,0.010374326,0.035804868,0.010503436,0.009532606,0.06996783,0.0045919977,0.032205477,0.004032799,0.078871444,0.040347025,0.027002053,0.051898964,0.014430443,0.010151571,0.028897027,0.01059648,0.00031565508
13,0.03286655,0.10190324,0.046112925,0.0071714288,0.007927848,0.010708522,0.007906299,0.009961946,0.026166758,0.0020319743,0.010496031,0.008989425,0.00032388483,0.037965372,0.013280928,0.0103020035,0.008558807,0.005943304,0.009530959,0.0013537391,0.06045778,0.020940267,0.020484975,0.02334237,0.0032060111,0.026791884,0.003365204,0.012730579,0.002608871,0.013744101,0.0031979238,0.004614117,0.031002,0.021198487,0.016838692,0.020095259,0.026025072,0.017215908,0.04961373,0.034758583,0.023352629
14,0.0062559275,0.022608904,0.018436633,0.0672904,0.02488587,0.018064052,0.007068989,0.01808621,0.040947083,0.025573963,0.024335343,0.012788254,0.03096477,0.0068322956,0.016399452,0.058217816,0.02092793,0.025333779,0.009768392,0.0012757569,0.030203858,0.0076308493,0.009849282,0.009359753,0.0002197307,0.0077309054,0.020833839,0.021293677,0.013460323,0.0008538011,0.018153375,0.009073292,0.0023078937,0.0060964595,0.004828167,0.0043392964,0.017737769,0.0050506727,0.01958373,0.00022640724,0.000121349876
15,0.014294453,0.007211345,0.010927963,0.0037605064,0.003649857,0.008574894,0.008100066,0.004817703,0.0240307,0.0048496695,0.015800769,0.017463729,0.046934225,0.0026333032,0.0047900123,0.0065615247,0.008227569,0.004469713,0.021614445,0.004474564,0.0058840765,0.005944579,0.02641581,0.025810268,0.04271499,0.037597034,0.03817444,0.00839788,0.007964017,0.01576721,0.0063483696,0.03180765,0.0066563627,0.0010284851,0.015374433,0.025580905,0.03108542,0.0066141738,0.026531933,0.016499905,7.546987e-08
16,0.056949135,0.12846917,0.08421597,0.07274731,0.037559185,0.036129482,0.0108007705,0.011376622,0.0150477085,0.023018088,0.02169481,0.0027380618,0.016872304,0.01035672,0.009762225,0.01377794,0.011710914,0.0058351406,0.005055871,0.009620829,0.068590984,0.002091164,0.015156423,0.0053208293,0.006185537,0.0032428522,0.0016988079,0.005252052,0.02519273,0.021308364,0.003177308,0.005669255,0.0065354435,0.021206386,0.05030188,0.022715013,0.008686136,0.0032149423,0.025087642,0.04259104,0.036255658
17,0.079340324,0.085004695,0.059936218,0.021591265,0.039492637,0.005059121,0.0017160855,0.0053088386,0.009129694,0.0049950443,0.0062200483,0.019387662,0.05060604,0.01832052,0.015300919,0.0011014703,0.034772083,0.020926567,0.010300226,0.019980066,0.0019050478,0.008096173,0.023609672,0.012699904,0.005734305,0.005834424,0.013484359,0.0029451197,0.0011892014,0.0018796489,0.019679053,0.0051885927,0.0042060902,0.0062121875,0.006613404,0.005157391,0.0053512366,0.016597785,0.022541026,0.022260131,0.012379254
18,0.012926968,0.015866851,0.03704146,0.02892192,0.018409668,0.002857517,0.011647727,0.008509933,0.0320737,0.016628914,0.0046721837,0.017063014,0.0027345766,0.0029963148,0.006783404,0.002683422,0.0013065288,0.0012131961,0.013557572,0.00059046526,0.001243337,0.0019910338,0.021411858,0.015106553,0.033525664,0.016879171,0.00789177,0.0029046806,0.018802926,0.004448688,0.007012558,0.0027279328,0.019797813,0.02269528,0.060055263,0.016735781,0.007113917,0.013405705,0.005971534,0.02346582,0.025457043
19,0.030665617,0.035026092,0.029062595,0.009945051,0.017676331,0.012135554,0.01903648,0.017410282,0.020602036,0.0032365061,0.008853951,0.0021765658,0.023397665,0.0042175427,0.0067206975,0.010424269,0.0020588343,0.0032362072,0.012186911,0.01914565,0.0064136847,0.004218732,0.012918736,0.012071908,0.029302161,0.02867296,0.035771392,0.020830393,0.022136772,0.013175416,0.0051935418,0.0022119721,0.0016398184,0.00051626586,0.005649897,0.005255164,0.008604273,0.0053743823,0.002943065,0.004287911,0.002877424
20,0.0131877605,0.016128253,0.0020094996,0.017112464,0.0050279256,0.0046967287,0.0015909689,0.0052135317,0.028883215,0.006747919,0.0072401864,0.0030466681,0.0059291776,0.009465691,0.010350281,0.0041243294,0.020563168,0.002326473,0.015162494,0.026672598,0.008424718,0.00704452,0.02110446,0.0073638163,0.010445462,0.0067169406,0.0072853016,0.0059431326,0.00384769,0.0066116,0.022221882,0.012112214,0.0020519514,0.010133365,0.007894613,0.0029076529,0.0020891444,0.0019712537,0.0026593767,0.0134750325,0.0021009322
21,0.0025904858,0.0027116572,0.0021079758,0.0013713037,0.0039973226,0.0013151569,0.00059030217,0.0030106287,0.00369849,0.003904914,0.0074839164,0.0044691437,0.005477701,0.018872488,0.004246291,0.014090377,0.0047083423,0.0039313463,0.00927768,0.0034974734,0.004819146,0.0016718177,0.0033748427,0.021304334,0.0011742976,0.0029770802,0.00747869,0.0026117763,0.0029217303,0.022644488,0.019173533,0.0050687725,0.006455604,0.0048819007,0.0023157191,0.010315625,0.022170726,0.009914072,0.037812613,0.006655279,0.006367221
22,0.008458111,0.015480122,0.013418473,0.029865228,0.049114864,0.016668573,0.001242068,0.00237955,0.010988708,0.012936793,0.0094999075,0.0053687925,0.010531964,0.001184094,0.008409119,0.02309724,0.008798962,0.011179105,0.0029264204,0.022744846,0.015638635,0.0046634283,0.0011689805,0.005623814,0.011567758,0.006237631,0.0025035227,0.00062111916,0.004973593,0.010352434,0.0033923285,0.0007146962,0.003403422,0.0013547114,0.0070990664,0.0041976683,0.003125398,0.0015082841,0.04368355,0.030173648,0.004612148
23,0.032492943,0.0058815004,0.020887222,0.002841755,0.008566686,0.014933571,0.0139088575,0.009716666,0.0035372663,0.019712245,0.01693074,0.010841858,0.018079199,0.0046694567,0.0023146824,0.017019613,0.019109108,0.009091557,0.0048392816,0.00079073233,0.0034713254,0.0048439857,0.0022699726,0.0040748958,0.004073499,0.0018665148,0.006857224,0.009823802,0.01000477,0.0139547,0.014675971,0.011507079,0.012547683,0.0031841032,0.026707826,0.022666138,0.016494509,0.024552606,0.0070677297,0.0034484086,0.0033936019
24,0.012320851,0.0029476422,0.006784429,0.008085595,0.0013560355,0.0018032801,0.002490297,0.013245561,0.0015476167,0.00029414083,0.017332684,0.011205206,0.019115942,0.0077703046,0.0026722543,0.00242338,0.0060214372,0.0067486716,0.009454148,0.0014529477,0.00063888705,0.017374564,0.0075418013,0.01604796,0.0040860446,0.0067132516,0.0018868259,0.0026870095,0.006174709,0.003191434,0.0029068266,0.006679984,0.00072935544,8.5456726e-05,0.0040734354,0.0016240446,0.012761248,0.003973561,0.0010195151,0.0010309258,0.00039748312
25,0.0022353907,0.0020879186,0.013629666,0.0025065052,0.0046960656,0.0082141105,0.00017004367,0.0010712192,0.0029787677,0.01734558,0.0061857523,0.011399784,0.010099294,0.0022857478,0.0038506575,0.009593767,0.007342512,7.496579e-05,0.0007973738,0.00056423305,0.0035131976,0.0012883628,0.0019195788,0.0013028677,0.0065698638,0.0017346743,0.0024251158,0.0034101103,0.0016903896,0.0058454564,0.004941542,0.009279959,0.0076644737,0.0029886663,0.0020415855,0.0012478346,0.00802961,0.009212969,0.01752508,0.008074798,2.0596415e-05
26,0.0013349651,0.0047938046,0.012236599,0.018456655,0.024640588,0.0190663,0.023328412,0.0010865566,0.012796753,0.0019829625,0.014506659,0.0127743,0.0092902,0.011201099,0.00086726807,0.0028132072,0.011273957,0.022976618,0.0101547,0.0038464405,0.0035031536,0.0030629472,0.014497185,0.009911156,0.007009672,0.0066473642,0.003862103,0.0026052098,0.005128839,0.010199713,0.012814386,0.002034877,0.0016676874,0.001605536,0.002064315,0.0029298295,0.007983773,0.0008937884,0.010964066,0.0036904956,0.0069112466
27,0.0066564027,0.0023259432,0.0034524086,0.0027914718,0.0010013544,0.003328395,0.0011154929,0.004676874,0.012002845,0.004920443,0.0073851515,0.0017908306,0.009298074,0.008946597,0.0028964654,0.00432003,0.0016155647,0.003276898,0.008797098,0.0016560822,0.0025927895,0.0023728907,0.007645983,0.0004661404,0.0029175621,0.007584376,0.007820036,0.008818667,0.012639143,0.002243844,0.0016801764,0.003914563,0.00094488263,0.0021141192,0.00032598167,0.0016079333,0.0008919907,0.0024140442,0.0033320612,0.0011974087,0.0001980745
28,0.0017472836,0.0012346614,0.0004046245,0.009352665,0.0057540163,0.0063194335,0.005733263,0.009008864,0.0023814992,0.007867171,0.022917962,0.010648425,0.030549318,0.014542378,0.0016806857,0.0020587544,0.0054115765,0.014003738,0.05033979,0.012557975,0.01296279,0.0023580606,0.023318818,0.018642295,0.018398808,0.029145835,0.030239517,0.0051644584,0.000703303,0.0043279594,0.00956855,0.010694988,0.005300499,0.013728381,0.0007570052,0.0018983223,0.0029208376,0.009758256,0.0036485305,0.013336545,7.877173e-05
29,0.0122737065,0.011212733,0.019613039,0.0074632927,0.0042046327,0.0009320136,0.0054913154,0.0054607196,0.002794444,0.0032926404,0.0018196864,0.0029338785,0.0037207422,0.0013599315,0.0034319381,0.0018128728,0.0024728393,0.0006653834,0.002584678,0.0015320913,0.008721851,0.0032004789,0.005186013,0.004819026,0.004125706,0.0011605343,0.009027597,0.0066276677,0.0018602936,0.0006347835,0.006707521,0.010201081,0.0036772857,0.0045910506,0.00337059,0.01054567,0.010741709,0.010560943,0.0038113394,0.008348066,9.149183e-06
